
id,title,description,price,link,image_link,availability
1,Creme Deluxe,Une creme deluxe pour votre soirée nocturne,25.00,https://web-site13015.github.io/H_D_S-SHOP/#,https://mcusercontent.com/ecbcd3e0a3ef2c00dbcaefee8/images/bc49a018-064b-af44-b264-1f821d3f40e0.jpg,out of stock
2,Fast Gaz,Gaz rapide pour vos besoins quotidiens,20.00,https://web-site13015.github.io/H_D_S-SHOP/#,https://mcusercontent.com/ecbcd3e0a3ef2c00dbcaefee8/images/d6ff08ad-78f0-2424-b67f-1a9f23db736c.jpeg,in stock
3,Canette de Coca,Rafraîchissement classique dans une canette pratique,2.00,https://web-site13015.github.io/H_D_S-SHOP/#,https://mcusercontent.com/ecbcd3e0a3ef2c00dbcaefee8/images/6a1f1093-3c42-4461-4910-e78105e654f3.jpeg,in stock
4,Canette d'Oasis Tropical,Une boisson fruitée et rafraîchissante pour les chaudes journées,2.00,https://web-site13015.github.io/H_D_S-SHOP/#,https://mcusercontent.com/ecbcd3e0a3ef2c00dbcaefee8/images/a83ccfd9-060f-db68-18d5-b796f3f5004f.jpeg,in stock
5,Red Bull,Une boisson énergisante pour rester tonique toute la journée,3.00,https://web-site13015.github.io/H_D_S-SHOP/#,https://mcusercontent.com/ecbcd3e0a3ef2c00dbcaefee8/images/6ccce169-be11-3066-d79b-4b2c89f44941.jpeg,in stock
6,Monster,Une boisson énergisante avec un goût unique pour les amateurs de sensations,3.50,https://web-site13015.github.io/H_D_S-SHOP/#,https://mcusercontent.com/ecbcd3e0a3ef2c00dbcaefee8/images/2cdecd84-a946-9f22-130f-214163db6ffd.jpeg,in stock
7,Crazy Tiger,Une boisson énergisante qui booste votre énergie à chaque gorgée,4.50,https://web-site13015.github.io/H_D_S-SHOP/#,https://mcusercontent.com/ecbcd3e0a3ef2c00dbcaefee8/images/e6007723-0835-44b4-33d6-e05c9a3deb2b.jpeg,in stock
8,Alcool Vodka (70 cl),Vodka de qualité supérieure pour vos soirées,19.00,https://web-site13015.github.io/H_D_S-SHOP/#,https://mcusercontent.com/ecbcd3e0a3ef2c00dbcaefee8/images/f8d0504d-2c8a-189b-08f5-3b0f48964823.jpeg,in stock
9,OCB Slim Noir - Made in France,OCB Slim Noir, un papier à rouler de qualité pour une expérience unique,25.00,https://web-site13015.github.io/H_D_S-SHOP/#,https://mcusercontent.com/ecbcd3e0a3ef2c00dbcaefee8/images/d24ccf63-fd85-0b81-e6a0-a401cfb11d52.jpeg,in stock
10,OCB Marron,OCB Marron, pour une sensation de fumée naturelle,25.00,https://web-site13015.github.io/H_D_S-SHOP/#,https://mcusercontent.com/ecbcd3e0a3ef2c00dbcaefee8/images/cce76e99-720f-a078-7a66-76e9c737abd3.jpeg,in stock
11,Petits OCB Noir,Petits OCB Noir, parfaits pour des rouleaux plus compacts,20.00,https://web-site13015.github.io/H_D_S-SHOP/#,https://mcusercontent.com/ecbcd3e0a3ef2c00dbcaefee8/images/2f37a4bb-ccaf-3a43-9fd2-a48c9bee38e2.jpeg,in stock
12,Chargeur Rapide Allume Cigarette,Chargeur rapide pour vos appareils, idéal pour les déplacements,12.00,https://web-site13015.github.io/H_D_S-SHOP/#,https://mcusercontent.com/ecbcd3e0a3ef2c00dbcaefee8/images/1dda42ab-34ae-13a0-11ce-f5dcf16750a4.jpeg,in stock
13,Nike TN,Sneakers Nike TN, confort et style au quotidien,80.00,https://web-site13015.github.io/H_D_S-SHOP/#,https://mcusercontent.com/ecbcd3e0a3ef2c00dbcaefee8/images/2c645765-5df4-27c4-c8d5-798f09b5da45.jpeg,in stock
14,Casque Écouteurs Sans Fil Bluetooth,Profitez de votre musique sans fil avec ces écouteurs Bluetooth,30.00,https://web-site13015.github.io/H_D_S-SHOP/#,https://mcusercontent.com/ecbcd3e0a3ef2c00dbcaefee8/images/e0285ed8-8ed9-f98a-34dc-f69c58a2478f.jpeg,in stock
